date,text
"16 янв, 14:22",Частных инвесторов не допустили к процессу по иску ЦБ к EuroclearЧастных инвесторов не допустили к процессу по иску ЦБ к Euroclear
"16 янв, 11:58","FT рассказала, кто получил проданную США венесуэльскую нефтьFT рассказала, кто получил проданную США венесуэльскую нефть"
"15 янв, 20:17",Минфин спрогнозировал недобор ₽232 млрд нефтегазовых доходов в январеМинфин спрогнозировал недобор ₽232 млрд нефтегазовых доходов в январе
"15 янв, 14:25",ЕС в ноябре заплатил за российский газ минимальную сумму за пять летЕС в ноябре заплатил за российский газ минимальную сумму за пять лет
"15 янв, 05:00",Почти 100 тыс. человек посетили российские казино в праздникиПочти 100 тыс. человек посетили российские казино в праздники
"14 янв, 21:13",Рост цен в начале января в шесть раз превысил результат конца декабряРост цен в начале января в шесть раз превысил результат конца декабря
"14 янв, 19:59",The Hill назвал подарком Китаю вывод авианосца Nimitz из эксплуатацииThe Hill назвал подарком Китаю вывод авианосца Nimitz из эксплуатации
"14 янв, 19:16",«Газпром» заявил о стремлении запасов газа в хранилищах Европы к минимуму«Газпром» заявил о стремлении запасов газа в хранилищах Европы к минимуму
"14 янв, 16:34",Аузан раскрыл подробности о проекте по экономике для неэкономистов
"13 янв, 19:16",Российские «дочки» Rockwool и CanPack перешли под временное управлениеРоссийские «дочки» Rockwool и CanPack перешли под временное управление
"13 янв, 16:41",Международные резервы России достигли рекордаМеждународные резервы России достигли рекорда
"13 янв, 13:34",«Росзарубежнефть» заявила о продолжении деятельности в Венесуэле«Росзарубежнефть» заявила о продолжении деятельности в Венесуэле
"13 янв, 09:33",Объем торговли внутри Евросоюза упал впервые почти за десятилетиеОбъем торговли внутри Евросоюза упал впервые почти за десятилетие
"12 янв, 15:29",Дерипаска предрек банкротство тысяч компаний из-за ставки и курса рубляДерипаска предрек банкротство тысяч компаний из-за ставки и курса рубля
"10 янв, 17:10",Bloomberg сообщил о падении экспорта пшеницы с Украины почти на четвертьBloomberg сообщил о падении экспорта пшеницы с Украины почти на четверть
"09 янв, 22:32",NYT узнала о передаче Украиной проекта по добыче лития другу ТрампаNYT узнала о передаче Украиной проекта по добыче лития другу Трампа
"09 янв, 10:30",Минпромторг признал неоправдавшимся свой прогноз по параллельному импортуМинпромторг признал неоправдавшимся свой прогноз по параллельному импорту
"06 янв, 16:12",«Газпром» сообщил о резком снижении запасов газа в Европе«Газпром» сообщил о резком снижении запасов газа в Европе
"06 янв, 13:26",Крупнейший нефтезавод в Индии не получит российскую нефть в январеКрупнейший нефтезавод в Индии не получит российскую нефть в январе
"05 янв, 17:20",Путин поручил добиться значимого роста собираемости налоговПутин поручил добиться значимого роста собираемости налогов
"04 янв, 15:42",«Буратино» собрал более ₽1 млрд за четыре дня проката«Буратино» собрал более ₽1 млрд за четыре дня проката
"04 янв, 10:15",Politico узнало о требовании США инвестиций от нефтяников в ВенесуэлуPolitico узнало о требовании США инвестиций от нефтяников в Венесуэлу
"01 янв, 09:03",НДС повысили до 22%. Как менялась ставка налога в РоссииНДС повысили до 22%. Как менялась ставка налога в России
"01 янв, 07:00",В семи российских городах с Нового года ввели туристический налогВ семи российских городах с Нового года ввели туристический налог
"01 янв, 04:02",Что и как подорожает для россиян в начале 2026 годаЧто и как подорожает для россиян в начале 2026 года
"01 янв, 00:02",В России выросла ставка НДСВ России выросла ставка НДС
"31 дек 2025, 07:57",Артемьев триллионами долларов оценил потери России на занижении цен
"31 дек 2025, 06:32",Reuters сообщил об убытках поставщиков нефти из России из-за скидок
"30 дек 2025, 16:53",Bloomberg узнал о возможном продлении ОПЕК+ остановки увеличения добычиBloomberg узнал о возможном продлении ОПЕК+ остановки увеличения добычи
"30 дек 2025, 15:59",Экспорт российского газа в Европу упал до минимума за полвекаЭкспорт российского газа в Европу упал до минимума за полвека
"30 дек 2025, 15:36","Минфин назвал конечные расходы на экономику, социалку и оборону в 2026-мМинфин назвал конечные расходы на экономику, социалку и оборону в 2026-м"
"30 дек 2025, 10:22",Банки начали чаще приостанавливать переводы россиян между своими счетамиБанки начали чаще приостанавливать переводы россиян между своими счетами
"29 дек 2025, 18:05",В России снизился индекс деловой активности в обрабатывающих отрасляхВ России снизился индекс деловой активности в обрабатывающих отраслях
"29 дек 2025, 17:56",ЦБ признал сохранение высокой ключевой ставки неоправданнымЦБ признал сохранение высокой ключевой ставки неоправданным
