date,text
"14 янв, 15:17",Получившая активы Danone «Логика молока» купила завод мороженогоПолучившая активы Danone «Логика молока» купила завод мороженого
"14 янв, 14:14",Netflix допустил покупку Warner Bros. полностью за наличныеNetflix допустил покупку Warner Bros. полностью за наличные
"14 янв, 13:28",Суд Лондона запретил «Еврохиму» судиться с экс-подрядчиком в РоссииСуд Лондона запретил «Еврохиму» судиться с экс-подрядчиком в России
"14 янв, 07:01",Бывшие участки владельца IKEA в России вновь сменили собственниковБывшие участки владельца IKEA в России вновь сменили собственников
"13 янв, 21:21",Госдума приняла в первом чтении законопроект о передвижных аптекахГосдума приняла в первом чтении законопроект о передвижных аптеках
"13 янв, 20:59",Российский бизнес пожаловался на проблемы в Иране
"13 янв, 18:40",Rostic's опроверг сообщения о массовом закрытии ресторанов в МосквеRostic's опроверг сообщения о массовом закрытии ресторанов в Москве
"13 янв, 17:24",Бакальчука выдвинули в совет директоров «ВсеИнструменты.ру»Бакальчука выдвинули в совет директоров «ВсеИнструменты.ру»
"13 янв, 13:50",Издательство Popcorn Books сообщило о закрытииИздательство Popcorn Books сообщило о закрытии
"13 янв, 12:07",Сергей Шишкарев вернулся в Россию после сообщений об опросе в полиции ОАЭСергей Шишкарев вернулся в Россию после сообщений об опросе в полиции ОАЭ
"13 янв, 11:16",«Лента» объявила о покупке OBI«Лента» объявила о покупке OBI
"13 янв, 00:01",ОАК сменила главу «Туполева» и руководителя направления военной авиацииОАК сменила главу «Туполева» и руководителя направления военной авиации
"12 янв, 23:47",Paramount подала в суд на Warner Bros.Paramount подала в суд на Warner Bros.
"12 янв, 23:08",Mercedes-Benz зарегистрировал в России товарный знакMercedes-Benz зарегистрировал в России товарный знак
"12 янв, 21:50",«Газпром» сообщил о росте поставок в Грузию на 40%«Газпром» сообщил о росте поставок в Грузию на 40%
"12 янв, 19:32",Торги по продаже аэропорта Домодедово назначили на 20 январяТорги по продаже аэропорта Домодедово назначили на 20 января
"12 янв, 17:03",Продавший российский бизнес за €1 гендиректор Heineken покинет постПродавший российский бизнес за €1 гендиректор Heineken покинет пост
"12 янв, 16:52",Погрузка РЖД по итогам 2025 года оказалась выше ожидаемойПогрузка РЖД по итогам 2025 года оказалась выше ожидаемой
"12 янв, 16:24",OBI сменит название на DOM ЛентаOBI сменит название на DOM Лента
"12 янв, 16:23",Суд запретил «дочке» Uniper судиться с «Газпром экспортом» за рубежомСуд запретил «дочке» Uniper судиться с «Газпром экспортом» за рубежом
"12 янв, 16:20",В «Росводоканал» назначили нового генерального директораВ «Росводоканал» назначили нового генерального директора
"12 янв, 08:33",Шишкарев заявил о беседе в полиции ОАЭ из-за заявления об угрозахШишкарев заявил о беседе в полиции ОАЭ из-за заявления об угрозах
"12 янв, 04:01",Какое падение цен на удобрения спрогнозировали аналитики. ИнфографикаФото: Omar Marques / Getty Images
