date,text
"17 дек 2025, 16:01",Отделившаяся от QIWI компания перезапустит электронные кошельки в РоссииОтделившаяся от QIWI компания перезапустит электронные кошельки в России
"17 дек 2025, 14:34",Мелони назвала «далеко не легким» поиск решения ЕС по активам РоссииМелони назвала «далеко не легким» поиск решения ЕС по активам России
"17 дек 2025, 12:22",Суд назначил предварительное заседание по иску ЦБ к Euroclear на ₽18 трлнСуд назначил предварительное заседание по иску ЦБ к Euroclear на ₽18 трлн
"17 дек 2025, 04:54",Fitch не исключило снижения рейтинга Euroclear из-за активов РоссииFitch не исключило снижения рейтинга Euroclear из-за активов России
"16 дек 2025, 16:38",«Медскан» перенесет IPO с декабря 2025 года на следующее полугодие 
"12 дек 2025, 17:11",Еврокомиссия фразой про законность отреагировала на иск ЦБ к EuroclearЕврокомиссия фразой про законность отреагировала на иск ЦБ к Euroclear
"12 дек 2025, 14:07",Юристы назвали иск ЦБ к Euroclear сигналом колеблющимся странам ЕС
"12 дек 2025, 11:12","Костин назвал доллар оружием «более мощным, чем ядерное»Костин назвал доллар оружием «более мощным, чем ядерное»"
"12 дек 2025, 10:34",Как ЦБ отзывал лицензии у банков в России. ИнфографикаКак ЦБ отзывал лицензии у банков в России. Инфографика
"12 дек 2025, 10:01","Костин напомнил свой призыв о рубле в торговле, который не был услышанКостин напомнил свой призыв о рубле в торговле, который не был услышан"
"12 дек 2025, 08:44",ЦБ отозвал лицензию у банка из третьей сотниЦБ отозвал лицензию у банка из третьей сотни
"12 дек 2025, 00:01",Мосбиржа запланировала обжаловать изъятие акций СМЗ в Верховном судеМосбиржа запланировала обжаловать изъятие акций СМЗ в Верховном суде
"11 дек 2025, 15:52",В ЦБ рассказали о новом способе снять блокировку с банковских картВ ЦБ рассказали о новом способе снять блокировку с банковских карт
"11 дек 2025, 15:01","Греф сообщил, что ЦБ идет «немного позади» во внедрении ИИГреф сообщил, что ЦБ идет «немного позади» во внедрении ИИ"
"11 дек 2025, 13:59",Путин заявил об индексации страховых пенсий с 1 января выше инфляцииПутин заявил об индексации страховых пенсий с 1 января выше инфляции
"10 дек 2025, 15:49","Ученые раскрыли, как ночной просмотр сериалов влияет на фондовые рынкиУченые раскрыли, как ночной просмотр сериалов влияет на фондовые рынки"
"10 дек 2025, 13:09",«Сбер» допустил пересмотр тарифов для клиентов из-за НДС по картам«Сбер» допустил пересмотр тарифов для клиентов из-за НДС по картам
"10 дек 2025, 12:19",НСПК приняла решение по картам «Мир» с истекшим сроком службыНСПК приняла решение по картам «Мир» с истекшим сроком службы
